Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
42.6334,113,0,301,0,2
42.3916,114,0,302,0,2
42.1362,115,0,303,0,2
42,115.484,0,304,0,2
41.8549,116,0,305,0,2
41.5983,117,0,306,0,2
41.3526,118,0,307,0,2
41.0938,119,0,308,0,2
41,119.336,0,309,0,2
40.8181,120,0,310,0,2
40.5715,121,0,311,0,2
40.3348,122,0,312,0,2
40.0859,123,0,313,0,2
40,123.322,0,314,0,2
39.8229,124,0,315,0,2
39.5875,125,0,316,0,2
39.3622,126,0,317,0,2
39.1277,127,0,318,0,2
39,127.503,0,319,0,2
38.8736,128,0,320,0,2
38.6414,129,0,321,0,2
38.4214,130,0,322,0,2
38.1952,131,0,323,0,2
38,131.786,0,324,0,2
37.9448,132,0,325,0,2
37.7041,133,0,326,0,2
37.4787,134,0,327,0,2
37.2491,135,0,328,0,2
37,135.979,0,329,0,2
36.9943,136,0,330,0,2
36.7365,137,0,331,0,2
36.4968,138,0,332,0,2
36.2523,139,0,333,0,2
36,139.924,0,334,0,2
35.9779,140,0,335,0,2
35.7029,141,0,336,0,2
35.4444,142,0,337,0,2
35.174,143,0,338,0,2
35,143.572,0,339,0,2
34.8682,144,0,340,0,2
34.5815,145,0,341,0,2
34.2993,146,0,342,0,2
34,146.949,0,343,0,2
33.9828,147,0,344,0,2
33.6635,148,0,345,0,2
33.3624,149,0,346,0,2
33.0329,150,0,347,0,2
33,150.09,0,348,0,2
32.6869,151,0,349,0,2
32.3657,152,0,350,0,2
32.0137,153,0,351,0,2
32,153.035,0,352,0,2
31.6501,154,0,353,0,2
31.3092,155,0,354,0,2
31,155.815,0,355,0,2
30.9258,156,0,356,0,2
30.5551,157,0,357,0,2
30.19,158,0,358,0,2
30,158.462,0,359,0,2
29.7794,159,0,360,0,2
29.403,160,0,361,0,2
29,160.992,0,362,0,2
28.9963,161,0,363,0,2
28.5833,162,0,364,0,2
28.1858,163,0,365,0,2
28,163.415,0,366,0,2
27.7412,164,0,367,0,2
27.3336,165,0,368,0,2
27,165.743,0,369,0,2
26.8793,166,0,370,0,2
26.4489,167,0,371,0,2
26,167.991,0,372,0,2
25.9953,168,0,373,0,2
25.5349,169,0,374,0,2
25.0787,170,0,375,0,2
25,170.154,0,376,0,2
24.591,171,0,377,0,2
24.1238,172,0,378,0,2
24,172.235,0,379,0,2
23.6145,173,0,380,0,2
23.13,174,0,381,0,2
23,174.238,0,382,0,2
22.6013,175,0,383,0,2
22.0932,176,0,384,0,2
22,176.163,0,385,0,2
21.547,177,0,386,0,2
21.0045,178,0,387,0,2
21,178.007,0,388,0,2
20.4464,179,0,389,0,2
20,179.769,0,390,0,2
19.8586,180,0,391,0,2
19.2896,181,0,392,0,2
19,181.462,0,393,0,2
18.6628,182,0,394,0,2
18.0531,183,0,395,0,2
18,183.078,0,396,0,2
17.4082,184,0,397,0,2
17,184.604,0,398,0,2
16.7254,185,0,399,0,2
16.0516,186,0,400,0,2
16,186.069,0,401,0,2
15.3376,187,0,402,0,2
15,187.445,0,403,0,2
14.5767,188,0,404,0,2
14,188.741,0,405,0,2
13.7896,189,0,406,0,2
13,189.976,0,407,0,2
12.9792,190,0,408,0,2
12.1229,191,0,409,0,2
12,191.135,0,410,0,2
11.203,192,0,411,0,2
11,192.211,0,412,0,2
10.2146,193,0,413,0,2
10,193.209,0,414,0,2
9.14092,194,0,415,0,2
8,194.956,0,416,0,2
7.94487,195,0,417,0,2
9,194.128,0,418,0,2
7,195.705,0,419,0,2
6.57876,196,0,420,0,2
5,196.965,0,421,0,2
4.93356,197,0,422,0,2
6,196.391,0,423,0,2
3,197.827,0,424,0,2
2.42508,198,0,425,0,2
4,197.453,0,426,0,2
1,198.295,0,427,0,2
0,198.349,0,428,0,2
2,198.126,0,429,0,2
